grad,board_index,board_number,board_line,step,correct_move,correct_rank,candidate_count,correct_score,best_move,best_score,score_gap,correct_in_top_2,correct_in_top_4,correct_in_top_10,correct_was_legal,correct_was_pruned_softlock,correct_was_loss,solved_after_step
17,107,108,66485,10,L,2,3,0.6666666666666666,U,1.3333333333333335,0.6666666666666669,True,True,True,True,False,False,False
17,107,108,66485,11,L,3,3,0.0,U,3.6666666666666665,3.6666666666666665,False,True,True,True,False,False,False
17,107,108,66485,12,D,3,3,-0.7333333333333334,R,1.0,1.7333333333333334,False,True,True,True,False,False,False
17,107,108,66485,13,L,3,3,-1.6333333333333333,U,0.0,1.6333333333333333,False,True,True,True,False,False,False
17,107,108,66485,14,D,2,2,-1.7333333333333334,R,-0.7333333333333334,1.0,True,True,True,True,False,False,False
17,107,108,66485,15,R,1,3,0.0,R,0.0,0.0,True,True,True,True,False,False,False
17,107,108,66485,16,D,2,3,0.0,U,0.09999999999999998,0.09999999999999998,True,True,True,True,False,False,False
17,107,108,66485,17,R,1,2,0.5,R,0.5,0.0,True,True,True,True,False,False,False
17,107,108,66485,18,D,1,2,0.0,D,0.0,0.0,True,True,True,True,False,False,False
17,107,108,66485,19,L,1,3,1.8333333333333335,L,1.8333333333333335,0.0,True,True,True,True,False,False,False
17,107,108,66485,20,U,1,2,1.8333333333333335,U,1.8333333333333335,0.0,True,True,True,True,False,False,False
17,107,108,66485,21,U,2,3,0.5,D,1.8333333333333335,1.3333333333333335,True,True,True,True,False,False,False
17,107,108,66485,22,U,2,3,0.6,D,1.8333333333333335,1.2333333333333334,True,True,True,True,False,False,False
17,107,108,66485,23,U,1,3,1.0,U,1.0,0.0,True,True,True,True,False,False,False
17,107,108,66485,24,R,1,3,1.0,R,1.0,0.0,True,True,True,True,False,False,False
17,107,108,66485,25,R,2,3,2.3333333333333335,U,3.6666666666666665,1.333333333333333,True,True,True,True,False,False,False
17,107,108,66485,26,R,3,3,1.0,U,1.8333333333333335,0.8333333333333335,False,True,True,True,False,False,False
17,107,108,66485,27,U,3,3,0.5,L,2.3333333333333335,1.8333333333333335,False,True,True,True,False,False,False
17,107,108,66485,28,U,2,2,0.16666666666666663,D,1.0,0.8333333333333334,True,True,True,True,False,False,False
17,107,108,66485,29,L,1,3,1.8333333333333335,L,1.8333333333333335,0.0,True,True,True,True,False,False,False
17,107,108,66485,30,D,1,3,1.8333333333333335,D,1.8333333333333335,0.0,True,True,True,True,False,False,False
17,107,108,66485,31,R,3,3,0.5,U,1.8333333333333335,1.3333333333333335,False,True,True,True,False,False,False
17,107,108,66485,32,D,1,3,3.6666666666666665,D,3.6666666666666665,0.0,True,True,True,True,False,False,False
17,107,108,66485,33,L,1,3,3.6666666666666665,L,3.6666666666666665,0.0,True,True,True,True,False,False,False
17,107,108,66485,34,L,1,3,2.3333333333333335,L,2.3333333333333335,0.0,True,True,True,True,False,False,False
17,107,108,66485,35,U,2,2,1.0,R,2.3333333333333335,1.3333333333333335,True,True,True,True,False,False,False
17,107,108,66485,36,L,2,3,2.3333333333333335,D,2.3333333333333335,0.0,True,True,True,True,False,False,False
17,107,108,66485,37,D,1,2,3.6666666666666665,D,3.6666666666666665,0.0,True,True,True,True,False,False,False
17,107,108,66485,38,D,1,3,3.6666666666666665,D,3.6666666666666665,0.0,True,True,True,True,False,False,False
17,107,108,66485,39,D,1,3,5.0,D,5.0,0.0,True,True,True,True,False,False,False
17,107,108,66485,40,D,1,3,5.0,D,5.0,0.0,True,True,True,True,False,False,True
17,176,177,67175,1,D,1,2,-1.4666666666666668,D,-1.4666666666666668,0.0,True,True,True,True,False,False,False
17,176,177,67175,2,L,2,3,-2.4,D,-1.866666666666667,0.533333333333333,True,True,True,True,False,False,False
17,176,177,67175,3,D,2,3,-0.9666666666666668,L,-0.16666666666666669,0.8,True,True,True,True,False,False,False
17,176,177,67175,4,L,2,4,-0.5666666666666667,D,-0.06666666666666671,0.49999999999999994,True,True,True,True,False,False,False
17,176,177,67175,5,L,1,3,0.6666666666666666,L,0.6666666666666666,0.0,True,True,True,True,False,False,False
17,176,177,67175,6,U,1,3,1.6666666666666667,U,1.6666666666666667,0.0,True,True,True,True,False,False,False
17,176,177,67175,7,L,1,3,1.5,L,1.5,0.0,True,True,True,True,False,False,False
17,176,177,67175,8,U,2,2,-1.5,R,1.6666666666666667,3.166666666666667,True,True,True,True,False,False,False
17,176,177,67175,9,L,3,3,-1.5,D,1.5,3.0,False,True,True,True,False,False,False
17,176,177,67175,10,L,1,2,-1.0,L,-1.0,0.0,True,True,True,True,False,False,False
17,176,177,67175,11,D,1,2,2.8333333333333335,D,2.8333333333333335,0.0,True,True,True,True,False,False,False
17,176,177,67175,12,R,1,3,2.8333333333333335,R,2.8333333333333335,0.0,True,True,True,True,False,False,False
17,176,177,67175,13,R,2,3,1.5,L,1.8333333333333335,0.3333333333333335,True,True,True,True,False,False,False
17,176,177,67175,14,U,2,2,-0.5,L,1.5,2.0,True,True,True,True,False,False,False
17,176,177,67175,15,R,1,3,1.6666666666666667,R,1.6666666666666667,0.0,True,True,True,True,False,False,False
17,176,177,67175,16,D,1,2,3.3333333333333335,D,3.3333333333333335,0.0,True,True,True,True,False,False,False
17,176,177,67175,17,D,1,4,3.3333333333333335,D,3.3333333333333335,0.0,True,True,True,True,False,False,False
17,176,177,67175,18,R,3,3,0.6666666666666666,U,2.3333333333333335,1.666666666666667,False,True,True,True,False,False,False
17,176,177,67175,19,D,3,3,0.6666666666666666,L,3.3333333333333335,2.666666666666667,False,True,True,True,False,False,False
