grad,board_index,board_number,board_line,full_rows,full_cols,active_rows,active_cols,start_soft_locked,solved,beam_move_count,cleaned_move_count,elapsed_seconds,beam_moves,cleaned_moves
17,145,146,66865,8,8,6,7,False,True,36,36,0.18,UURURRRDRDULULLLDDRLUURDRDRULLLDRRUR,UURURRRDRDULULLLDDRLUURDRDRULLLDRRUR
17,146,147,66875,8,8,7,7,False,True,30,30,44.96,DDDURRUDDRDDLURUULLLDDRRDRUURU,DDDURRUDDRDDLURUULLLDDRRDRUURU
17,147,148,66885,8,8,7,7,False,True,26,26,6.52,RRRRDDRDLDUUUULLDRURDDDRDL,RRRRDDRDLDUUUULLDRURDDDRDL
17,148,149,66895,8,8,7,7,False,True,40,40,26.42,RRRUUUUDRDRULDLDDRULULDULDURRURRDLLLDLUU,RRRUUUUDRDRULDLDDRULULDULDURRURRDLLLDLUU
17,149,150,66905,8,8,8,8,False,True,27,27,49.05,RRRRRRUUURULDLUULUURLLLLDRR,RRRRRRUUURULDLUULUURLLLLDRR
17,150,151,66915,8,8,8,8,False,True,41,41,117.93,ULUUURULDDDDLULLDLUULUDDLDRDRULURRRRDRUUU,ULUUURULDDDDLULLDLUULUDDLDRDRULURRRRDRUUU
17,151,152,66925,8,8,8,6,False,True,15,15,1.97,LLDDRUDRDDLUULU,LLDDRUDRDDLUULU
17,152,153,66935,8,8,7,7,False,True,22,22,0.39,DRDDDRURRDUURUULDDDLLD,DRDDDRURRDUURUULDDDLLD
17,153,154,66945,8,8,7,7,False,True,28,28,37.65,DDDDRDRRRUULURDLLLDDRULURRUR,DDDDRDRRRUULURDLLLDDRULURRUR
17,154,155,66955,8,8,7,7,False,True,50,50,88.09,DDRRLLUUUURURDURRDLLDLDLDDRRRUDLLLUURDRLUURUULDDRD,DDRRLLUUUURURDURRDLLDLDLDDRRRUDLLLUURDRLUURUULDDRD
17,155,156,66965,8,8,8,8,False,True,52,52,154.53,LLLULLULUURRRRRDDUULLLLUDLLUURDLDRRRRRLLLLDDRDRRRRUU,LLLULLULUURRRRRDDUULLLLUDLLUURDLDRRRRRLLLLDDRDRRRRUU
17,156,157,66975,8,8,8,8,False,True,27,27,62.30,DDDRDDLDRRRDRUUURURRUULDRDL,DDDRDDLDRRRDRUUURURRUULDRDL
17,157,158,66985,8,8,8,8,False,True,34,34,85.91,DRDRRRRRLUDDDLDDLLULLDRRRDRUUUUURU,DRDRRRRRLUDDDLDDLLULLDRRRDRUUUUURU
17,158,159,66995,8,8,7,7,False,True,27,27,9.34,UURRRRLLLLDDRRRLUDLLUURRRDR,UURRRRLLLLDDRRRLUDLLUURRRDR
17,159,160,67005,8,8,7,7,False,True,17,17,3.05,RDLLULUURRURDDDLD,RDLLULUURRURDDDLD
17,160,161,67015,8,8,7,7,False,True,14,14,0.60,UURDRRURLDDRUU,UURDRRURLDDRUU
17,161,162,67025,8,8,7,7,False,True,23,23,26.19,LDRRDDLUULLDRRDDLUURULL,LDRRDDLUULLDRRDDLUURULL
17,162,163,67035,8,8,8,8,False,True,43,43,113.78,RURUURUULDUULULLDLLDDDDLDDRUUUUULURRRRRURDD,RURUURUULDUULULLDLLDDDDLDDRUUUUULURRRRRURDD
17,163,164,67045,8,8,8,8,False,True,36,36,103.75,RRLLUULULDDLDLUURRRRRLDDDDRDLDRRUUUU,RRLLUULULDDLDLUURRRRRLDDDDRDLDRRUUUU
17,164,165,67055,8,8,7,6,False,True,12,12,0.78,DDRRLLUURRDD,DDRRLLUURRDD
17,165,166,67065,8,8,7,7,False,True,24,24,35.99,RRUUURRDLDRLLDDRRUUURULL,RRUUURRDLDRLLDDRRUUURULL
17,166,167,67075,8,8,7,7,False,True,30,30,24.78,LLLLUDRRULUURRRUULLRDRDLLULDRD,LLLLUDRRULUURRRUULLRDRDLLULDRD
17,167,168,67085,8,8,7,7,False,True,34,34,43.60,RDDUULLDRLLDDRRUUDDLLDLLUUURRRURDD,RDDUULLDRLLDDRRUUDDLLDLLUUURRRURDD
17,168,169,67095,8,8,8,8,False,True,61,61,180.73,UURRRDRRRURUULLRUUDLULLRRDDDRDDDLULLLUUULUURRRRURDDDDDRDULDLD,UURRRDRRRURUULLRUUDLULLRRDDDRDDDLULLLUUULUURRRRURDDDDDRDULDLD
17,169,170,67105,8,8,8,8,False,False,0,0,>350,TIMEOUT,
17,170,171,67115,8,8,7,7,False,True,21,21,5.11,DDDRRLDDRRULDLURULLUL,DDDRRLDDRRULDLURULLUL
17,171,172,67125,8,8,7,7,False,True,32,32,57.63,LDDRDDLUUULLDDLDDRUUUDDRRURRUULL,LDDRDDLUUULLDDLDDRUUUDDRRURRUULL
17,172,173,67135,8,8,7,7,False,True,29,29,41.69,RDRRRRDDDLDLLURURDRUUULDDRDLL,RDRRRRDDDLDLLURURDRUUULDDRDLL
17,173,174,67145,8,8,7,7,False,True,27,27,41.71,LUURDUURUULDULLDRRLDDRURULL,LUURDUURUULDULLDRRLDDRURULL
