grad,board_index,board_number,weight,solved,status,move_count,elapsed_seconds,moves
16,30,31,0.1,True,finished,51,93.71,RRDLDLDDRUUUDDDDRRURLLDRDRRULDLULULRDRRULLDLUUULURR
16,31,32,0.1,False,timeout,0,350.11,
16,32,33,0.1,True,finished,86,121.46,DRDRURURDURLDLURRRDLRRDDLULULLLLDDLDDDRRULUUURURRRDRUDRDDDDLLULLLDLUUUDDRRRRRUUULULLLD
16,35,36,0.1,True,finished,50,58.49,DRRRLULDLLURRRRRRURUULULULDULLLDDRULURRRRDRDRDDLUU
16,37,38,0.1,False,timeout,0,350.27,
17,0,1,0.1,True,finished,60,1.34,LLLLDURRRRDULLLDDDRRRDDLLLLRRRRUULLLDURRRDDLURULLRDDLLUUUULU
17,1,2,0.1,True,finished,46,1.26,DDRLDDDRRRRRUULLUUDDRRULDLURRDDDLLLLLUUURRRRDR
17,6,7,0.1,True,finished,49,50.31,RDRULLLLRUURUUDDRULDLLDLURDRDRRRRUUULLULDRDLLLLUL
17,19,20,0.1,True,finished,65,65.99,RRDRRRURDULDLLLRRRRDDRDDDLDLULLDLULUURULRRRDLLDDLULURURDDLDRRRRDR
17,25,26,0.1,True,finished,49,33.82,RUULDLDLDLUUURDULUUUURRRRDDRRLLUURRDULLLLLLDDRRRR
17,27,28,0.1,False,timeout,0,350.06,
17,37,38,0.1,True,finished,92,141.22,DDUULLRRDDLDDRDULUURDUUULLDLDRULLLLDDLDDRRULDLURUUURRRRDDRDDLURULDLUURULLLULDDDDLDDURURDDRDL
17,41,42,0.1,False,finished,0,16.61,
17,42,43,0.1,False,timeout,0,350.21,
17,45,46,0.1,True,finished,32,3.45,LLURRLDDDDUUURRDDDLLURLUURRDDLDR
17,46,47,0.1,True,finished,44,40.92,RRDDRRRDLDUURUULDDLLUULLDDRRRRLDDRURULLLLULD
17,48,49,0.1,True,finished,46,6.16,DDLDRRLLURULLURLULUURRRURDRDULLLLLDDRULURRRRDR
17,52,53,0.1,False,finished,0,9.56,
17,73,74,0.1,True,finished,84,163.45,DUULLLDDUUDDDUUURRRDDRDRRURDLLLULUURRRDDRDLUUULLLDDLUDDLDDRUUURRDLLRUUURRRDDDLLLULDD
17,82,83,0.1,True,finished,37,11.52,RRRDLURLLLLDDRURURRDLLLDLDDRUULURRRUR
